Partido,Rival,Resultado,PuntosPropiosT1,PuntosPropiosT2,PuntosPropiosT3,PuntosPropiosT4,OvertimePropios,PuntosRivalT1,PuntosRivalT2,PuntosRivalT3,PuntosRivalT4,OvertimeRival,YardasTot,YardasPase,PromRun,YardasPorJugada,Anotaciones1Down,Eficiencia3Down,Eficiencia4Down,ReproduccionesTot,Derribes,Despejes,Penalizaciones,BalonesPerdidos,Intercepciones,TiempoPosesion,,
P1,Vikings,Victoria,0,14,7,3,3,0,7,7,10,0,366,217,149,5.4,20,0.214285714,0.666666667,68,5,7,15,0,0,34 min 51 s,,
P2,Bears,Derrota,0,0,3,14,null,7,0,0,13,null,248,179,69,4.5,14,0.461538462,0,55,5,2,57,1,3,28 min 39 s,,
P3,Steelers,Victoria,7,7,10,0,null,0,7,0,3,null,268,172,96,6.4,12,0.333333333,0,42,0,5,89,0,1,24 min 38 s,,
P4,Jaguars,Victoria,0,0,14,10,null,7,7,0,7,null,420,342,78,7.6,21,0.555555556,0,55,1,3,38,0,0,31 min 15 s,,
P5,Packers,Derrota,7,7,0,8,0,0,16,3,3,3,367,264,103,5.6,18,0.357142857,1,65,3,5,21,0,2,34 min 6 s,,
P6,Lions,Victoria,7,3,10,14,null,0,0,0,11,null,398,256,142,5.9,20,0.533333333,1,68,2,3,31,0,1,35 min 52 s,,
P7,Ravens,Victoria,3,10,14,14,null,0,10,7,0,null,520,409,111,8.3,19,0.307692308,0.5,63,1,4,5,0,1,28 min 11 s,,
P8,Jets,Derrota,0,17,7,7,null,7,7,3,17,null,318,277,41,5.9,18,0.4,0,54,3,4,51,0,1,23 min 39 s,,
P9,Browns,Derrota,7,3,0,6,null,7,17,10,7,null,348,263,85,5,25,0.272727273,0,70,5,3,31,1,2,35 min 22 s,,
P10,Raiders,Victoria,3,7,3,19,null,3,3,0,7,null,288,129,159,4.1,23,0.5,0,70,3,2,5,1,0,37 min 20 s,,
P11,Steelers,Victoria,10,21,3,7,null,3,0,0,7,null,370,172,198,5.7,25,0.454545455,1,65,2,3,18,0,1,35 min 20 s,,
P12,Chargers,Derrota,0,13,9,0,null,16,8,0,17,null,356,260,96,5,21,0.5,0,71,6,4,63,2,2,31 min 14 s,,
P13,49ers,Derrota,3,3,0,14,3,3,14,3,0,6,397,311,86,6.1,22,0.307692308,1,65,5,4,19,2,0,34 min 17 s,,
P14,Broncos,Victoria,3,3,9,0,null,0,3,7,0,null,249,136,113,4.9,12,0.307692308,0,51,3,7,38,0,0,27 min 19 s,,
P15,Ravens,Victoria,10,21,3,7,null,7,7,0,7,null,575,498,77,8.2,33,0.5,1,70,3,0,45,0,0,37 min 3 s,,
P16,Chiefs,Victoria,7,10,7,10,null,14,14,0,3,null,475,415,60,7.5,23,0.4,1,63,4,3,62,0,0,29 min 6 s,,
P17,Browns,Derrota,0,7,3,6,null,7,7,0,7,null,182,103,79,3.6,11,0.357142857,1,51,4,7,32,0,0,26 min 21 s,,
Comodin,Raiders,Victoria,10,10,3,3,null,3,10,0,6,null,308,225,83,5,18,0.416666667,1,61,2,2,56,0,0,31 min 51 s,,
Divisional,Titans,Victoria,6,3,7,3,null,0,6,0,0,null,345,280,65,5.4,17,0.466666667,0,64,9,5,46,0,1,33 min 25 s,,
Conferencia,Chiefs,Victoria,3,7,11,3,3,7,14,0,3,0,359,243,116,5.4,21,0.571428571,0,66,1,3,30,0,1,35 min 56 s,,
