Partido,Rival,Resultado,PuntosPropiosT1,PuntosPropiosT2,PuntosPropiosT3,PuntosPropiosT4,OvertimePropios,PuntosRivalT1,PuntosRivalT2,PuntosRivalT3,PuntosRivalT4,OvertimeRival,PuntosPropios,PuntosRival,YardasTot,YardasPase,PromRun,YardasPorJugada,Anotaciones1Down,Eficiencia3Down,Eficiencia4Down,ReproduccionesTot,Derribes,Despejes,Penalizaciones,BalonesPerdidos,Intercepciones,TiempoPosesion
P1,Bears,Victoria,10,3,14,7,null,0,7,7,0,null,34,14,386,312,74,7.7,18,0.545454545,1,50,1,1,36,0,0,24.76666667
P2,Colts,Victoria,7,3,7,10,null,0,6,8,10,null,27,24,371,270,101,6.2,21,0.333333333,0,60,1,3,15,1,1,28.46666667
P3,Buccaneers,Victoria,0,14,17,3,null,9,7,10,7,null,34,33,407,331,76,6.5,22,0.666666667,0,63,1,3,4,0,0,30.16666667
P4,Cardinals,Derrota,10,3,0,7,null,7,17,10,3,null,20,37,401,280,121,6.3,24,0.545454545,0,64,0,1,36,1,1,24.83333333
P5,Seahawks,Victoria,0,3,13,10,null,0,7,0,10,null,26,17,476,358,118,7.1,24,0.2,1,67,1,5,85,0,1,33.05
P6,Giants,Victoria,0,28,3,7,null,3,0,0,8,null,38,11,365,234,131,5.5,22,0.181818182,1,66,2,4,50,0,2,32.36666667
P7,Lions,Victoria,3,14,0,11,null,10,6,3,0,null,28,19,374,327,47,6.1,22,0.692307692,0,61,1,1,35,0,0,27.33333333
P8,Texans,Victoria,7,17,14,0,null,0,0,0,22,null,38,22,467,302,165,7.1,26,0.363636364,0,66,1,4,20,0,0,33.58333333
P9,Titans,Derrota,3,0,3,10,null,0,21,0,7,null,16,28,347,253,94,4.7,22,0.266666667,0.666666667,74,5,4,115,0,2,32.35
P10,49ers,Derrota,0,7,0,3,null,14,7,3,7,null,10,31,278,226,52,5.1,16,0.3,0,54,2,3,35,0,2,20.95
P11,Packers,Derrota,0,17,0,11,null,7,13,16,0,null,28,36,353,285,68,5.8,15,0.307692308,0,61,2,5,30,2,1,20.33333333
P12,Jaguars,Victoria,10,6,14,7,null,0,7,0,0,null,37,7,418,290,128,6.3,24,0.416666667,1,66,1,3,47,0,0,33.75
P13,Cardinals,Victoria,0,13,14,3,null,3,10,0,10,null,30,23,356,267,89,6.6,18,0.5,0,54,3,3,40,0,0,29.06666667
P14,Seahawks,Victoria,3,0,7,10,null,0,3,7,0,null,20,10,332,209,123,5.4,20,0.5,0,62,4,3,34,0,1,35.1
P15,Vikings,Victoria,7,6,7,10,null,0,3,10,10,null,30,23,356,197,159,0.1,22,0.5,1,70,0,2,5,0,3,30
P16,Ravens,Victoria,0,7,0,13,null,7,6,3,3,null,20,19,373,300,73,6.7,20,0.333333333,1,56,1,2,35,1,2,26.35
P17,49ers,Derrota,3,14,0,7,0,0,3,14,7,3,24,27,265,201,64,4.1,19,0.588235294,1,64,5,4,15,0,2,31.4
Comodin,Cardinals,Victoria,7,14,7,6,null,0,0,8,3,null,34,11,375,235,140,6.6,16,0.461538462,0,57,1,5,48,0,0,35.76666667
Divisional,Buccaneers,Victoria,10,10,7,3,null,3,0,10,14,null,30,27,428,355,73,6.1,24,0.363636364,0,70,2,4,45,4,0,34.13333333
Conferencia,49ers,Victoria,0,7,0,13,null,0,10,7,0,null,20,17,396,326,70,5.2,25,0.611111111,0,76,2,1,10,0,1,35.65
